ea45bab,Antony Leons,2 days ago,Merge branch 'master' into past-validation
f2e824e,JamesDun2866,2 days ago,Merge pull request #28 from Openanttony/Misc
ee82618,JamesDun2866,2 days ago,Added Defaults to Society and Student
a1715df,JamesDun2866,2 days ago,Merge pull request #27 from Openanttony/ExpandingPortals
23f19a2,JamesDun2866,2 days ago,Merge branch 'master' into ExpandingPortals
e42d78d,JamesDun2866,2 days ago,Added to Portals
2c67c3e,Antony Leons,2 days ago,Merge pull request #26 from Openanttony/deployment-fixes
30cbcfd,Antony Leons,2 days ago,fixes for deployment
8928166,JamesDun2866,2 days ago,Removed Useless character
202e920,JamesDun2866,2 days ago,Fixed Logout Buttons
e32abf7,JamesDun2866,2 days ago,Merge branch 'master' of https://github.com/Openanttony/Agile
5b2f9a8,JamesDun2866,2 days ago,Update Login.php
f267ef4,JamesDun2866,2 days ago,Merge pull request #25 from Openanttony/PersistantID
ae23a99,JamesDun2866,2 days ago,Merge branch 'master' into PersistantID
b2686f5,JamesDun2866,2 days ago,Added Functionality to all users
ca8db86,JamesDun2866,2 days ago,Login StudentID Globalised
42d2463,Antony Leons,2 days ago,Deployment
761d9fb,Antony Leons,2 days ago,works but not really
54bab6f,Antony Leons,3 days ago,merged sql and modifed table
4579b41,Antony Leons,3 days ago,fixed entrys
9397cb1,Antony Leons,3 days ago,fixed search
0767253,Antony Leons,3 days ago,activity added
80afd7c,Antony Leons,3 days ago,fixed
48cf25f,JamesDun2866,3 days ago,Merge pull request #24 from Openanttony/Fixing-Links
40e07a4,JamesDun2866,3 days ago,Added Society And activity
32bb056,JamesDun2866,3 days ago,Merge pull request #23 from Openanttony/Fixing-Links
8d43b82,JamesDun2866,3 days ago,Merge branch 'master' into Fixing-Links
0705cb3,JamesDun2866,3 days ago,Links All Work and Booking only affects one entry now
547d1ca,Antony Leons,3 days ago,Merge pull request #22 from Openanttony/link-fixing-and-table-merge
597de69,Antony Leons,3 days ago,fixed duration maker
25c7739,Antony Leons,3 days ago,Merge branch 'master' into link-fixing-and-table-merge
419cc1b,Antony Leons,3 days ago,Update Book.php
7f3629b,JamesDun2866,3 days ago,Merge pull request #21 from Openanttony/FixingGeneralLinksAndAddingbooking
6dba313,JamesDun2866,3 days ago,Merge branch 'master' into FixingGeneralLinksAndAddingbooking
7b074e3,JamesDun2866,3 days ago,Added Per hour search
8e95404,Antony Leons,3 days ago,Merge branch 'master' of https://github.com/Openanttony/Agile
7a7c0f6,Antony Leons,3 days ago,unified sql
974a42a,Antony Leons,3 days ago,Merge pull request #20 from Openanttony/link-fixing-and-table-merge
68abef0,Antony Leons,3 days ago,added to all types
f227efb,Antony Leons,3 days ago,merged fuctions
5594c34,Antony Leons,3 days ago,Merge branch 'master' into link-fixing-and-table-merge
5509fc0,JamesDun2866,3 days ago,Merge pull request #19 from Openanttony/FixingGeneralLinksAndAddingbooking
6120cb1,JamesDun2866,3 days ago,Changed IsBooked to No
d83ced9,JamesDun2866,3 days ago,Added Times
0179f94,JamesDun2866,3 days ago,Merge pull request #18 from Openanttony/FixingGeneralLinksAndAddingbooking
14ca316,JamesDun2866,3 days ago,Added more entries
65ef7f5,Antony Leons,3 days ago,links fixed
ba9ef37,Antony Leons,4 days ago,Merge pull request #17 from Openanttony/Multi-Society
9da95ee,Antony Leons,4 days ago,Update styles.css
c62c3a3,Antony Leons,4 days ago,added log out and fixed styles
29da1fc,Antony Leons,4 days ago,updated links and search
2689009,Antony Leons,5 days ago,Merge pull request #16 from Openanttony/Multi-Society
eadf897,Antony Leons,5 days ago,fixed
9e523dc,JamesDun2866,5 days ago,Merge pull request #15 from Openanttony/email
4af72fa,JamesDun2866,5 days ago,Merge branch 'master' into email
4b081fa,JamesDun2866,5 days ago,Email
c3a81ec,Antony Leons,5 days ago,combined sql
ac90eb5,Antony Leons,5 days ago,Merge branch 'master' of https://github.com/Openanttony/Agile
17a75cd,Antony Leons,5 days ago,housekeeping
4c48841,Antony Leons,5 days ago,Merge pull request #14 from Openanttony/search-field
3d401ca,Antony Leons,5 days ago,finiahed combined search
d6bc8e0,Antony Leons,5 days ago,Merge branch 'master' into search-field
ed8ab52,Antony Leons,5 days ago,adding field validation
1b03924,JamesDun2866,5 days ago,Merge pull request #13 from Openanttony/Login
0b43352,JamesDun2866,5 days ago,Login Working
3c819b8,JamesDun2866,5 days ago,Added a fetch for testing
fb28540,JamesDun2866,5 days ago,Login Database added
32a788d,JamesDun2866,5 days ago,Login Form Added to index and Login.php added
e2a3e1b,Antony Leons,6 days ago,fixed html
68151f8,Antony Leons,7 days ago,Merge pull request #11 from Openanttony/fix-css-Antony
31802ed,Antony Leons,7 days ago,fix table styling
03ea0fe,Antony Leons,7 days ago,removed commented lines
bd9f4c7,Antony Leons,7 days ago,edited nav bar names
49956ab,Antony Leons,7 days ago,fixed header
2a88896,JamesDun2866,7 days ago,Merge pull request #10 from Openanttony/Restyling
df41740,JamesDun2866,7 days ago,Re-Styled all search htmls
005d4f5,JamesDun2866,7 days ago,Society & Staff Restyled
e9452a9,JamesDun2866,7 days ago,Merge branch 'master' into Restyling
00d9a35,JamesDun2866,7 days ago,LecturerPortal And Admin Portal Restyled
149a75e,JamesDun2866,7 days ago,Restyle Front Page
7b68f1a,Antony Leons,7 days ago,search added to folders
b75af10,Antony Leons,7 days ago,delete update
e50bea4,Antony Leons,7 days ago,fix book.php
44c115d,Antony Leons,7 days ago,favicons added
bb4ed0d,Antony Leons,8 days ago,removed clutter
4b73eef,Antony Leons,8 days ago,Update .travis.yml
90bf5f1,Antony Leons,8 days ago,travis Strict
e2d393a,Antony Leons,8 days ago,Merge pull request #9 from Openanttony/SQL-housekeeping-Antony
8a315aa,Antony Leons,8 days ago,revert verification
fb4715d,Antony Leons,8 days ago,Merge pull request #8 from Openanttony/search-options-antony
af950e9,Antony Leons,8 days ago,Merge branch 'master' into search-options-antony
1babf85,Antony Leons,8 days ago,fix Month
97a331a,Antony Leons,8 days ago,finished optional features
df730e6,JamesDun2866,8 days ago,Merge pull request #7 from Openanttony/CreatingPortals
49568d4,JamesDun2866,8 days ago,Added Portals Of Other Users
2267609,JamesDun2866,8 days ago,Merge pull request #6 from Openanttony/Agile--James
5801b35,JamesDun2866,8 days ago,Changed SQL Query
0f96e4f,JamesDun2866,8 days ago,Added Duration and Timestamp
3861d01,Antony Leons,8 days ago,travis added to readme
ea42ea7,Antony Leons,8 days ago,moved script
fc2cde7,Antony Leons,8 days ago,replaced travis
a496c6c,Antony Leons,8 days ago,lint test
